Item,Etapa 1,Etapa 2,Etapa 3
Aprox cuándo (fechas),,,
"Condiciones para iniciarlo (Hitos) ",,,
"Usuarios por día/mes? ",,,
Tráfico general por día/mes?,,,
Función de la página #1,,,
Función de la página #2,,,
Función de la página #3,,,
Función de la página #4,,,
Función de la página #5,,,
Función de la página #6,,,
Función de la página #7,,,
Función de la página #8,,,
Función de la página #9,,,
,,,
